MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,MassFeature_Column,Volume,Adjusted_Area_VolNormed,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFFlag,RFratio,nmolinEnviroave,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,molFractionC_pertotalC
Butyryl-L-carnitine,Inj_vol,0.15881600053913753,0.15881600053913753,6082235,170419,Smp,U8_B,B,170419,6082235,170419_Smp_U8_B Butyryl-L-carnitine,HILICPos,Butyryl-L-carnitine_X_HILICPos,10,608223.5,120,0.18918918918918912,1,400,3,3,Butyryl-L-carnitine,4029503387.0542,3115280138.3239264,3486633124.831303,used relative RF,0.9913131278982856,2.1116762363982157e-4,C11H21NO4,11,1,0.002322843860038037,2.1116762363982157e-4,142.39171942820838,29.109742819452027,1.631305436415618e-5,7.254190631279396e-6,5.35,4.341764224370163e-7
Carnitine,"L-Methionine, D3",0.16433647476993435,0.1191773931274841,408482752,170419,Smp,U8_B,B,170419,353762360.96712184,170419_Smp_U8_B Carnitine,HILICPos,Carnitine_X_HILICPos,10,35376236.09671219,19,0.8716216216216216,1,400,3,3,Carnitine,1819196160,1555227008,1687211584,NA,0.8108256426181801,0.03103100535616213,C7H15NO3,7,1,0.21721703749313492,0.03103100535616213,142.39171942820838,29.109742819452027,0.0015254892515196594,0.001066000670243856,5.35,4.0601315419277556e-5
Citrulline,"L-Cysteic Acid, D3",0.34918224562645994,0.1747657550710171,3895371,170419,Smp,U8_B,B,170419,3644243.2788011064,170419_Smp_U8_B Citrulline,HILICPos,Citrulline_X_HILICPos,10,364424.32788011065,126,0.14864864864864868,1,400,3,3,Citrulline,11211108,8115568.5,9663338.25,NA,0.7850489891631054,0.05764540134006085,C6H13N3O3,6,3,0.3458724080403651,0.17293620402018256,142.39171942820838,29.109742819452027,0.002429020517690626,0.005940835860103211,5.35,6.464904823184394e-5
Creatine,"DL-Alanine, D3",0.5381360141315187,0.30251578974016746,41446448,170419,Smp,U8_B,B,170419,65736266.465365686,170419_Smp_U8_B Creatine,HILICPos,Creatine_X_HILICPos,10,6573626.646536568,62,0.5810810810810811,1,400,3,3,Creatine,554973760,429235360,492104560,NA,0.9698226820631286,0.016528618432263033,C4H9N3O2,4,3,0.06611447372905213,0.0495858552967891,142.39171942820838,29.109742819452027,4.6431403451368527e-4,0.0017034109715203085,5.35,1.2357845556832174e-5
Cystathionine,"L-Cysteic Acid, D3",0.5351052048867022,0.40021300026609186,1759552,170419,Smp,U8_B,B,170419,1646116.775449898,170419_Smp_U8_B Cystathionine,HILICPos,Cystathionine_X_HILICPos,10,164611.6775449898,134,0.09459459459459464,1,400,3,3,Cystathionine,6720880.5,5750246,6235563.25,NA,1.1643892164208818,0.027206208579708478,C7H14N2O4S,7,2,0.19044346005795934,0.054412417159416956,142.39171942820838,29.109742819452027,0.0013374616222257072,0.0018692166913634462,5.35,3.559690842204848e-5
Cytosine,"L-Methionine, D3",0.21760489729507,0.13840757021969888,334813152,170419,Smp,U8_B,B,170419,289961548.0811387,170419_Smp_U8_B Cytosine,HILICPos,Cytosine_X_HILICPos,10,28996154.808113866,20,0.8648648648648649,1,400,3,3,Cytosine,639087936,463387424,551237680,NA,0.943682065245974,0.06688936271308356,C4H5N3O,4,3,0.26755745085233423,0.2006680881392507,142.39171942820838,29.109742819452027,0.001879023948349977,0.006893502611268626,5.35,5.001073847707182e-5
Dexpanthenol,Inj_vol,0.17950469021327065,0.17950469021327065,115454,170419,Smp,U8_B,B,170419,115454,170419_Smp_U8_B Dexpanthenol,HILICPos,Dexpanthenol_X_HILICPos,10,11545.4,145,0.02027027027027028,1,400,3,3,Dexpanthenol,53307703.17147636,27340706.154238835,40324204.66285759,used relative RF,1.0211181896634796,3.3647159524142107e-4,C9H19NO4,9,1,0.0030282443571727894,3.3647159524142107e-4,142.39171942820838,29.109742819452027,2.1266997612874402e-5,1.1558727857141368e-5,5.35,5.660269826491195e-7
DMSP_HILICPos,Inj_vol,0.2801661899392387,0.2801661899392387,3358093312,170419,Smp,U8_B,B,170419,3358093312,170419_Smp_U8_B DMSP_HILICPos,HILICPos,DMSP_HILICPos_X_HILICPos,10,335809331.2,4,0.972972972972973,1,400,3,3,DMSP,981802240,930970240,956386240,NA,1.0444877951504885,0.40340132203022,C5H10O2S,5,NA,2.0170066101511,NA,142.39171942820838,29.109742819452027,0.014165195969615654,NA,5.35,3.770105813366542e-4
Glucosylglycerol,Inj_vol,0.300358603230113,0.300358603230113,1457597,170419,Smp,U8_B,B,170419,1457597,170419_Smp_U8_B Glucosylglycerol,HILICPos,Glucosylglycerol_X_HILICPos,10,145759.7,138,0.06756756756756754,1,400,3,3,Glucosylglycerol,260237.8540906303,72204.82523866593,129499.08712348709,used relative RF,0.9708029744287028,1.3913003890418496,C9H18O8,9,NA,12.521703501376646,NA,142.39171942820838,29.109742819452027,0.0879384247318531,NA,5.35,0.0023405053273601205
Glutamine,"L-Cysteic Acid, D3",0.3359863691415925,0.16673151347773002,42704312,170419,Smp,U8_B,B,170419,39951240.06977139,170419_Smp_U8_B Glutamine,HILICPos,Glutamine_X_HILICPos,10,3995124.0069771386,60,0.5945945945945945,1,400,3,3,Glutamine,18555816,11757359,15156587.5,NA,0.8696776981142573,0.3637070722307747,C5H10N2O3,5,2,1.8185353611538735,0.7274141444615494,142.39171942820838,29.109742819452027,0.01277135614666659,0.024988683306932855,5.35,3.3991315161754644e-4
Glycerophosphocholine,"L-Cysteic Acid, D3",0.35773907598754684,0.20521524019826023,78391440,170419,Smp,U8_B,B,170419,73337681.65741856,170419_Smp_U8_B Glycerophosphocholine,HILICPos,Glycerophosphocholine_X_HILICPos,10,7333768.165741856,46,0.6891891891891893,1,400,3,3,Glycerophosphocholine,204825192.67143968,130408982.70250829,165696229.43836758,used relative RF,0.93894422690673,0.05656606929444613,C8H21NO6P,8,1,0.45252855435556905,0.05656606929444613,142.39171942820838,29.109742819452027,0.003178053865581184,0.0019432005856350933,5.35,8.458477651505964e-5
Gonyol,Inj_vol,0.30067737252828736,0.30067737252828736,120735048,170419,Smp,U8_B,B,170419,120735048,170419_Smp_U8_B Gonyol,HILICPos,Gonyol_X_HILICPos,10,12073504.8,37,0.75,1,400,3,3,Gonyol,92401614.87261532,82585581.2870064,87493598.07981086,used relative RF,0.6228559733344396,0.26585858844844484,C7H14O3S,7,NA,1.861010119139114,NA,142.39171942820838,29.109742819452027,0.013069651287393895,NA,5.35,3.478523587175914e-4
Homoserine,"Adenosine Monophosphate, 15N5",0.3163900566315811,0.2491291506187384,1285488,170419,Smp,U8_B,B,170419,942842.8597466184,170419_Smp_U8_B Homoserine,HILICPos,Homoserine_X_HILICPos,10,94284.28597466183,140,0.05405405405405406,1,400,3,3,Homoserine,13300405,9465082,11382743.5,NA,0.8323995748573515,0.011941029280073377,C4H9NO3,4,1,0.047764117120293506,0.011941029280073377,142.39171942820838,29.109742819452027,3.354416767498577e-4,4.1020730942679484e-4,5.35,8.927872358933366e-6
I104.1074R10.68_HILICPos,Inj_vol,0.18014854362505084,0.18014854362505084,825353792,170419,Smp,U8_B,B,170419,825353792,170419_Smp_U8_B I104.1074R10.68_HILICPos,HILICPos,I104.1074R10.68_HILICPos_X_HILICPos,10,82535379.2,13,0.9121621621621622,1,400,3,3,Choline,705023552,633169472,669096512,NA,0.9269692443917265,0.15968617049796624,C5H14NO,5,1,0.7984308524898311,0.15968617049796624,142.39171942820838,29.109742819452027,0.005607284297823141,0.0054856606425000435,5.35,1.4923941168034228e-4
I118.0864R7.19_HILICPos,Inj_vol,0.1647589392565521,0.1647589392565521,20978438144,170419,Smp,U8_B,B,170419,20978438144,170419_Smp_U8_B I118.0864R7.19_HILICPos,HILICPos,I118.0864R7.19_HILICPos_X_HILICPos,10,2097843814.4,1,0.9932432432432432,1,400,3,3,Betaine,1619406976,1516815104,1568111040,NA,0.797069528904754,2.0141016182898386,C5H11NO2,5,1,10.070508091449193,2.0141016182898386,142.39171942820838,29.109742819452027,0.07072397279763576,0.06918994890411584,5.35,0.0018823379610185408
I121.032R8.27_HILICPos,"L-Methionine, D3",0.20606846284535393,0.11582247651055498,1964501376,170419,Smp,U8_B,B,170419,1701336571.726092,170419_Smp_U8_B I121.032R8.27_HILICPos,HILICPos,I121.032R8.27_HILICPos_X_HILICPos,10,170133657.1726092,8,0.945945945945946,1,400,3,3,Dimethylsulfonioacetate (DMS-Ac),781614279.9705399,682805826.4864514,732210053.2284957,used relative RF,0.9541395021981958,0.2922294090751738,C4H9O2S,4,NA,1.1689176363006952,NA,142.39171942820838,29.109742819452027,0.008209168629992172,NA,5.35,2.1848927781321407e-4
I132.102R9.3_HILICPos,"L-Methionine, D3",0.17455114921449472,0.12136122031609405,3480172288,170419,Smp,U8_B,B,170419,3013968054.0911317,170419_Smp_U8_B I132.102R9.3_HILICPos,HILICPos,I132.102R9.3_HILICPos_X_HILICPos,10,301396805.40911317,3,0.9797297297297296,1,400,3,3,Trimethylammonium Propionate (TMAP),831244397.5852644,831244397.5852644,831244397.5852644,used relative RF,1.0194578399719951,0.42679752224788636,C6H13NO2,6,1,2.560785133487318,0.42679752224788636,142.39171942820838,29.109742819452027,0.017984087443922082,0.014661672722257343,5.35,4.7865142682005946e-4
I138.0549R5.35_HILICPos,Inj_vol,0.15185500244517516,0.15185500244517516,10196630528,170419,Smp,U8_B,B,170419,10196630528,170419_Smp_U8_B I138.0549R5.35_HILICPos,HILICPos,I138.0549R5.35_HILICPos_X_HILICPos,10,1019663052.8,2,0.9864864864864864,1,400,3,3,Homarine,1839277000,1648561300,1743919150,NA,1.0482026214562348,0.6693701491516048,C7H7NO2,7,1,4.685591044061233,0.6693701491516048,142.39171942820838,29.109742819452027,0.03290634499588042,0.02299471188403324,5.35,8.758114101049035e-4
I138.055R7.72_HILICPos,"L-Isoleucine, 15N",0.18487042905576068,0.11748219645392838,2610835968,170419,Smp,U8_B,B,170419,2237417931.4692316,170419_Smp_U8_B I138.055R7.72_HILICPos,HILICPos,I138.055R7.72_HILICPos_X_HILICPos,10,223741793.14692315,5,0.9662162162162162,1,400,3,3,Trigonelline,2065907456,1556541696,1811224576,NA,0.7661504578528102,0.19348263466708177,C7H7NO2,7,1,1.3543784426695724,0.19348263466708177,142.39171942820838,29.109742819452027,0.009511637671827037,0.0066466624548050185,5.35,2.5315484909711636e-4
I143.0816R7.97_HILICPos,Inj_vol,0.1785330884676276,0.1785330884676276,580785920,170419,Smp,U8_B,B,170419,580785920,170419_Smp_U8_B I143.0816R7.97_HILICPos,HILICPos,I143.0816R7.97_HILICPos_X_HILICPos,10,58078592,16,0.8918918918918919,1,400,3,3,Ectoine,1995979904,1807962624,1901971264,NA,0.9982000823769196,0.036709272077387944,C6H10N2O2,6,2,0.22025563246432767,0.07341854415477589,142.39171942820838,29.109742819452027,0.001546828940255736,0.0025221296048591455,5.35,4.116927709613601e-5
I144.1019R6.44_HILICPos,Inj_vol,0.1640293505446871,0.1640293505446871,309186272,170419,Smp,U8_B,B,170419,309186272,170419_Smp_U8_B I144.1019R6.44_HILICPos,HILICPos,I144.1019R6.44_HILICPos_X_HILICPos,10,30918627.2,23,0.8445945945945946,1,400,3,3,Stachydrine hydrochloride,2962688000,2828159744,2895423872,NA,0.7989564737751411,0.01603858972433012,C7H13NO2,7,1,0.11227012807031084,0.01603858972433012,142.39171942820838,29.109742819452027,7.884596697135583e-4,5.509698187238067e-4,5.35,2.098507066734782e-5
I148.0605R12.12_HILICPos,"L-Cysteic Acid, D3",0.31494987826046084,0.12913944958600193,183123584,170419,Smp,U8_B,B,170419,171317928.428889,170419_Smp_U8_B I148.0605R12.12_HILICPos,HILICPos,I148.0605R12.12_HILICPos_X_HILICPos,10,17131792.8428889,31,0.7905405405405406,1,400,3,3,Glutamic acid,4927674.5,3886238.5,4406956.5,NA,0.7718543282151185,6.043798169271694,C5H9NO4,5,1,30.218990846358473,6.043798169271694,142.39171942820838,29.109742819452027,0.21222435523432528,0.20762114618316183,5.35,0.005648409503992238
I148.0968R8.21_HILICPos,"L-Isoleucine, 15N",0.1873371034251671,0.11156007158488096,309133792,170419,Smp,U8_B,B,170419,264919549.87647837,170419_Smp_U8_B I148.0968R8.21_HILICPos,HILICPos,I148.0968R8.21_HILICPos_X_HILICPos,10,26491954.98764784,24,0.8378378378378378,1,400,3,3,4-Hydroxyisoleucine,19456815.817594696,15908044.42571542,17682430.121655058,used relative RF,0.8743641959961511,2.0561790906294437,C6H13NO3,6,1,12.337074543776662,2.0561790906294437,142.39171942820838,29.109742819452027,0.08664179766434253,0.07063542620017382,5.35,0.0023059952418274135
I152.0567R8.12_HILICPos,"Sulfolactic Acid, 13C3",0.23848721290426872,0.1819446362759914,117533616,170419,Smp,U8_B,B,170419,109459563.13243005,170419_Smp_U8_B I152.0567R8.12_HILICPos,HILICPos,I152.0567R8.12_HILICPos_X_HILICPos,10,10945956.313243004,38,0.7432432432432432,1,400,3,3,Guanine,64749404,36309232,50529318,NA,0.7881351919532156,0.3298304899072342,C5H5N5O,5,5,1.649152449536171,1.649152449536171,142.39171942820838,29.109742819452027,0.011581800235003463,0.05665293780727449,5.35,3.082527943058263e-4
I160.0969R8.37_HILICPos,"L-Methionine, D3",0.19042837269474583,0.12520870487777663,266044336,170419,Smp,U8_B,B,170419,230405009.67171863,170419_Smp_U8_B I160.0969R8.37_HILICPos,HILICPos,I160.0969R8.37_HILICPos_X_HILICPos,10,23040500.967171863,26,0.8243243243243243,1,400,3,3,Betonicine,1489866638.5671074,1351082964.0267804,1420474801.296944,used relative RF,0.9938583330697182,0.01958461986558202,C7H13NO3,7,1,0.13709233905907414,0.01958461986558202,142.39171942820838,29.109742819452027,9.627830860501259e-4,6.727857400545283e-4,5.35,2.562473627272414e-5
I175.119R17.83_HILICPos,"Sulfolactic Acid, 13C3",0.35215247428078106,0.17078267376698195,45729060,170419,Smp,U8_B,B,170419,42587670.66314611,170419_Smp_U8_B I175.119R17.83_HILICPos,HILICPos,I175.119R17.83_HILICPos_X_HILICPos,10,4258767.066314612,59,0.6013513513513513,1,400,3,3,Arginine,12617183,10692670,11654926.5,NA,0.9166031866289912,0.47838134020636036,C6H14N4O2,6,4,2.870288041238162,1.9135253608254414,142.39171942820838,29.109742819452027,0.020157689314829263,0.06573487689993485,5.35,5.365024376146097e-4
I179.0048R7.02_HILICPos,Inj_vol,0.16250001177304058,0.16250001177304058,29465868,170419,Smp,U8_B,B,170419,29465868,170419_Smp_U8_B I179.0048R7.02_HILICPos,HILICPos,I179.0048R7.02_HILICPos_X_HILICPos,10,2946586.8,75,0.4932432432432432,1,400,3,3,Arsenobetaine,1046963137.6340202,1014828810.6227012,1030895974.1283607,used relative RF,1.0078267548685154,0.0034032962719426248,C5H11AsO2,5,NA,0.017016481359713124,NA,142.39171942820838,29.109742819452027,1.1950471156640932e-4,NA,5.35,3.1806507214417054e-6
I204.1232R7.22_HILICPos,Inj_vol,0.15242497205531302,0.15242497205531302,97751744,170419,Smp,U8_B,B,170419,97751744,170419_Smp_U8_B I204.1232R7.22_HILICPos,HILICPos,I204.1232R7.22_HILICPos_X_HILICPos,10,9775174.4,42,0.7162162162162162,1,400,3,3,Acetyl-L-carnitine,1665218387.912614,1366860897.7031417,1492095783.130426,used relative RF,0.9652651895206188,0.008144462219347347,C9H17NO4,9,1,0.07330015997412613,0.008144462219347347,142.39171942820838,29.109742819452027,5.14778248822839e-4,2.797847535054472e-4,5.35,1.3700964481145071e-5
I252.1092R3.46_HILICPos,"L-Isoleucine, 15N",0.2839203328725497,0.1949608526206528,175339200,170419,Smp,U8_B,B,170419,150261094.5221473,170419_Smp_U8_B I252.1092R3.46_HILICPos,HILICPos,I252.1092R3.46_HILICPos_X_HILICPos,10,15026109.452214727,33,0.777027027027027,1,400,3,3,Deoxyadenosine,902442516.7544411,406035633.49846554,654239075.1264534,used relative RF,1.0107119462590417,0.027268667463749223,C10H13N5O3,10,5,0.27268667463749224,0.13634333731874612,142.39171942820838,29.109742819452027,0.0019150458729798295,0.004683769903581467,5.35,5.096947189485837e-5
I284.0991R8.89_HILICPos,"L-Isoleucine, 15N",0.25271206998254725,0.15746632335417574,18304342,170419,Smp,U8_B,B,170419,15686340.894835329,170419_Smp_U8_B I284.0991R8.89_HILICPos,HILICPos,I284.0991R8.89_HILICPos_X_HILICPos,10,1568634.0894835328,99,0.33108108108108103,1,400,3,3,Guanosine,34772540,23293912,29033226,NA,0.8596645667604093,0.07541861862890285,C10H13N5O5,10,5,0.7541861862890286,0.3770930931445143,142.39171942820838,29.109742819452027,0.005296559303571561,0.012954188413252798,5.35,1.409693806147717e-4
Lysine,"L-Cysteic Acid, D3",0.26719322193802775,0.1654892120252151,9805909,170419,Smp,U8_B,B,170419,9173739.283314804,170419_Smp_U8_B Lysine,HILICPos,Lysine_X_HILICPos,10,917373.9283314806,112,0.2432432432432432,1,400,3,3,Lysine,3742002.25,3169263.25,3455632.75,NA,0.9209008003142484,0.345929188237444,C6H14N2O2,6,2,2.075575129424664,0.691858376474888,142.39171942820838,29.109742819452027,0.014576515669305727,0.023767244553344762,5.35,3.8795796811675964e-4
Methionine Sulfoxide,"DL-Proline, D7",0.32919506549760646,0.24701054695282532,2285730,170419,Smp,U8_B,B,170419,1992590.7106563095,170419_Smp_U8_B Methionine Sulfoxide,HILICPos,Methionine Sulfoxide_X_HILICPos,10,199259.07106563097,132,0.10810810810810811,1,400,3,3,Methionine Sulfoxide,25899926,17180208,21540067,NA,0.5329250033035939,0.02082985280437411,C5H11NO3S,5,1,0.10414926402187054,0.02082985280437411,142.39171942820838,29.109742819452027,7.314278136403917e-4,7.155629279711451e-4,5.35,1.946715215362066e-5
N(e)-Acetyl-Lysine,"L-Methionine, D3",0.2282255340269736,0.13192169658566655,4785001,170419,Smp,U8_B,B,170419,4144001.779027475,170419_Smp_U8_B N(e)-Acetyl-Lysine,HILICPos,N(e)-Acetyl-Lysine_X_HILICPos,10,414400.1779027475,123,0.16891891891891897,1,400,3,3,N(e)-Acetyl-Lysine,136092608,60626268,98359438,NA,0.6947065613719308,0.007277525567391594,C8H16N2O3,8,2,0.05822020453913275,0.014555051134783187,142.39171942820838,29.109742819452027,4.0887352700650856e-4,5.000061740517011e-4,5.35,1.0882281222267804e-5
Ornithine,Inj_vol,0.49973584613651506,0.49973584613651506,425211,170419,Smp,U8_B,B,170419,425211,170419_Smp_U8_B Ornithine,HILICPos,Ornithine_X_HILICPos,10,42521.1,144,0.02702702702702697,1,400,3,3,Ornithine,2279518.4,1955267.2,2117392.8,NA,0.768540639824074,0.03135576980557396,C5H12N2O2,5,2,0.15677884902786982,0.06271153961114792,142.39171942820838,29.109742819452027,0.0011010390889121555,0.0021543144506670853,5.35,2.9304457762218657e-5
Propionyl-L-carnitine,Inj_vol,0.19309509312975884,0.19309509312975884,18389402,170419,Smp,U8_B,B,170419,18389402,170419_Smp_U8_B Propionyl-L-carnitine,HILICPos,Propionyl-L-carnitine_X_HILICPos,10,1838940.2,97,0.3445945945945946,1,400,3,3,Propionyl-L-carnitine,1138816730.2391644,892800891.2332741,1010742232.3406012,used relative RF,0.9672089539726934,0.0022572940250364356,C10H19NO4,10,1,0.022572940250364354,0.0022572940250364356,142.39171942820838,29.109742819452027,1.5852705719833146e-4,7.754427921390093e-5,5.35,4.219241168292403e-6
Sarcosine,"DL-Proline, D7",0.43830588743088816,0.3431170148629361,712028,170419,Smp,U8_B,B,170419,620712.148209627,170419_Smp_U8_B Sarcosine,HILICPos,Sarcosine_X_HILICPos,10,62071.214820962705,142,0.04054054054054057,1,400,3,3,Sarcosine,14362757,10786133,12574445,NA,0.45926127857003296,0.012898013735381731,C3H7NO2,3,1,0.0386940412061452,0.012898013735381731,142.39171942820838,29.109742819452027,2.717436193728534e-4,4.4308236645645944e-4,5.35,7.232531066569196e-6
Serine,"Sulfolactic Acid, 13C3",0.4390750677688178,0.2953177493041411,655779,170419,Smp,U8_B,B,170419,610729.8090056366,170419_Smp_U8_B Serine,HILICPos,Serine_X_HILICPos,10,61072.98090056366,143,0.03378378378378377,1,400,3,3,Serine,672320.75,318061.25,495191,NA,0.9621695594958412,0.15381759200458134,C3H7NO3,3,1,0.461452776013744,0.15381759200458134,142.39171942820838,29.109742819452027,0.0032407276059785283,0.0052840587757373,5.35,8.625285532967178e-5
Threonine,Inj_vol,0.3602160712486955,0.3602160712486955,3419029,170419,Smp,U8_B,B,170419,3419029,170419_Smp_U8_B Threonine,HILICPos,Threonine_X_HILICPos,10,341902.9,127,0.14189189189189189,1,400,3,3,Threonine,5069213,2534824,3802018.5,NA,0.9231695277756607,0.11689295675005418,C4H9NO3,4,1,0.4675718270002167,0.11689295675005418,142.39171942820838,29.109742819452027,0.0032837009685521704,0.004015595653835275,5.35,8.73966031776106e-5
Tyrosine,"L-Methionine, D3",0.21608455537953872,0.1265599300310335,36046424,170419,Smp,U8_B,B,170419,31217641.372191705,170419_Smp_U8_B Tyrosine,HILICPos,Tyrosine_X_HILICPos,10,3121764.1372191706,70,0.527027027027027,1,400,3,3,Tyrosine,25460950,14969913,20215431.5,NA,0.8260893121565569,0.22432171366801673,C9H11NO3,9,1,2.0188954230121507,0.22432171366801673,142.39171942820838,29.109742819452027,0.014178460876231258,0.007706069925087694,5.35,3.7736363046956086e-4
Vitamin B3,Inj_vol,0.4412875943085619,0.4412875943085619,30334636,170419,Smp,U8_B,B,170419,30334636,170419_Smp_U8_B Vitamin B3,HILICPos,Vitamin B3_X_HILICPos,10,3033463.6,71,0.5202702702702703,1,400,3,3,Vitamin B3,68006088,22764994,45385541,NA,1.0083532210465114,0.07954077670127045,C6H5NO2,6,1,0.4772446602076227,0.07954077670127045,142.39171942820838,29.109742819452027,0.0033516321182443603,0.002732445188355249,5.35,8.920460938460237e-5
Adenine,"L-Isoleucine, 15N",0.23314964800123644,0.16836045649329132,469265504,170419,Smp,U9_A,A,170419,468754307.3102459,170419_Smp_U9_A Adenine,HILICPos,Adenine_X_HILICPos,10,46875430.731024586,14,0.9054054054054054,1,400,3,3,Adenine,1049262272,690171456,869716864,NA,0.9817366322832808,0.06588000596020799,C5H5N5,5,5,0.32940002980103994,0.32940002980103994,144.449474407212,28.351435453370367,0.0022803823354347478,0.011618460389520822,5.35,6.157009902823176e-5
Adenosine,"L-Isoleucine, 15N",0.2500774434788038,0.16478973634500635,331244672,170419,Smp,U9_A,A,170419,330883828.9838786,170419_Smp_U9_A Adenosine,HILICPos,Adenosine_X_HILICPos,10,33088382.89838786,19,0.8716216216216216,1,400,3,3,Adenosine,516277184,300951424,408614304,NA,0.8463268927702063,0.11481670572367891,C10H13N5O4,10,5,1.148167057236789,0.5740835286183945,144.449474407212,28.351435453370367,0.007948572066105516,0.020248834651162204,5.35,2.1461066490407273e-4
Adenosyl Homocysteine,Inj_vol,0.7312625924386192,0.7312625924386192,30389,170419,Smp,U9_A,A,170419,30389,170419_Smp_U9_A Adenosyl Homocysteine,HILICPos,Adenosyl Homocysteine_X_HILICPos,10,3038.9,147,0.00675675675675679,1,400,3,3,Adenosyl Homocysteine,74763560,38199556,56481558,NA,0.6741500884741054,9.577108143601044e-5,C14H20N6O5S,14,6,0.0013407951401041463,5.746264886160627e-4,144.449474407212,28.351435453370367,9.282104663976567e-6,2.0267985709617822e-5,5.35,2.506159140381582e-7
Adenosyl Methionine,Inj_vol,0.6520968816886703,0.6520968816886703,2377288,170419,Smp,U9_A,A,170419,2377288,170419_Smp_U9_A Adenosyl Methionine,HILICPos,Adenosyl Methionine_X_HILICPos,10,237728.8,129,0.1283783783783784,1,400,3,3,Adenosyl Methionine,8056937.5,5941739,6999338.25,NA,0.9643005449770172,0.0422662434549293,C15H22N6O5S,15,6,0.6339936518239395,0.2535974607295758,144.449474407212,28.351435453370367,0.004389033981782947,0.008944783806332056,5.35,1.1850348632223169e-4
Argininosuccinic Acid,"DL-Alanine, D3",1.1271810926875967,0.649993652432645,191266,170419,Smp,U9_A,A,170419,323551.604251585,170419_Smp_U9_A Argininosuccinic Acid,HILICPos,Argininosuccinic Acid_X_HILICPos,10,32355.1604251585,145,0.02027027027027028,1,400,3,3,Argininosuccinic Acid,5242498.5,4507323.5,4874911,NA,1.114965514663372,0.0071432636075979515,C10H18N4O6,10,4,0.07143263607597952,0.028573054430391806,144.449474407212,28.351435453370367,4.945164139165125e-4,0.00100781685207389,5.35,1.3351894593641032e-5
Asparagine,"L-Cysteic Acid, D3",0.32740664373428463,0.1815153440504124,2842344,170419,Smp,U9_A,A,170419,2605039.5149036823,170419_Smp_U9_A Asparagine,HILICPos,Asparagine_X_HILICPos,10,260503.95149036823,127,0.14189189189189189,1,400,3,3,Asparagine,4339478,3702908.25,4021193.125,NA,0.9890186015747392,0.07860246576119773,C4H8N2O3,4,2,0.3144098630447909,0.15720493152239545,144.449474407212,28.351435453370367,0.0021766078716108726,0.005544866741613508,5.35,5.8768198699960914e-5
Aspartic acid,"L-Cysteic Acid, D3",0.44069288331889866,0.28302171469422405,1479188,170419,Smp,U9_A,A,170419,1355692.059079178,170419_Smp_U9_A Aspartic acid,HILICPos,Aspartic acid_X_HILICPos,10,135569.2059079178,134,0.09459459459459464,1,400,3,3,Aspartic acid,318352,158845.75,238598.875,NA,0.9269600165694272,0.7355511941602345,C4H7NO4,4,1,2.942204776640938,0.7355511941602345,144.449474407212,28.351435453370367,0.020368400706995173,0.025944054768231972,5.35,5.499448180637267e-4
beta-Glutamic acid,"L-Cysteic Acid, D3",0.3463021911269523,0.15726976281029686,4963490,170419,Smp,U9_A,A,170419,4549093.136449803,170419_Smp_U9_A Beta_GlutamicAcid,HILICPos,beta-Glutamic acid_X_HILICPos,10,454909.31364498026,121,0.18243243243243248,1,400,3,3,beta-Glutamic acid,4509478.2547822725,4509478.2547822725,4509478.2547822725,used relative RF,0.8680591850075087,0.13945382820165564,C5H9NO4,5,1,0.6972691410082782,0.13945382820165564,144.449474407212,28.351435453370367,0.004827079806760898,0.004918757232980866,5.35,1.3033068056229498e-4
beta-Alanine,"L-Cysteic Acid, D3",0.2375193321620284,0.13489543017732095,16826094,170419,Smp,U9_A,A,170419,15421300.078908028,170419_Smp_U9_A beta-Alanine,HILICPos,beta-Alanine_X_HILICPos,10,1542130.0078908028,86,0.41891891891891897,1,400,3,3,beta-Alanine,10761578.953960076,8914869.90425103,9838224.429105552,used relative RF,0.977888387912608,0.1923517844471466,C3H7NO2,3,1,0.5770553533414398,0.1923517844471466,144.449474407212,28.351435453370367,0.003994859487786609,0.006784551870874678,5.35,1.0786081370868033e-4
Butyryl-L-carnitine,Inj_vol,0.15881600053913753,0.15881600053913753,3864870,170419,Smp,U9_A,A,170419,3864870,170419_Smp_U9_A Butyryl-L-carnitine,HILICPos,Butyryl-L-carnitine_X_HILICPos,10,386487,125,0.15540540540540537,1,400,3,3,Butyryl-L-carnitine,4029503387.0542,3115280138.3239264,3486633124.831303,used relative RF,0.9913131278982856,1.3418347261768697e-4,C11H21NO4,11,1,0.0014760181987945567,1.3418347261768697e-4,144.449474407212,28.351435453370367,1.0218231702481452e-5,4.732863450190332e-6,5.35,2.758912521111321e-7
